Threshold,	Accuracy Rate,		Type I Error,		Type II Error
0.0,		0.10235294117647059,	0.8976470588235295,	0.0
0.01,		0.1411764705882353,	0.8588235294117647,	0.0
0.02,		0.27176470588235296,	0.7282352941176471,	0.0
0.03,		0.4176470588235294,	0.5823529411764706,	0.0
0.04,		0.4411764705882353,	0.5588235294117647,	0.0
0.05,		0.46352941176470586,	0.5364705882352941,	0.0
0.06,		0.4929411764705882,	0.5070588235294118,	0.0
0.07,		0.5023529411764706,	0.4976470588235294,	0.0
0.08,		0.5047058823529412,	0.49529411764705883,	0.0
0.09,		0.5070588235294118,	0.4929411764705882,	0.0
0.1,		0.5117647058823529,	0.48823529411764705,	0.0
0.11,		0.5188235294117647,	0.4811764705882353,	0.0
0.12,		0.5211764705882352,	0.4788235294117647,	0.0
0.13,		0.5270588235294118,	0.47294117647058825,	0.0
0.14,		0.5447058823529412,	0.45529411764705885,	0.0
0.15,		0.5776470588235294,	0.4223529411764706,	0.0
0.16,		0.5952941176470589,	0.4047058823529412,	0.0
0.17,		0.6529411764705882,	0.34705882352941175,	0.0
0.18,		0.668235294117647,	0.33176470588235296,	0.0
0.19,		0.6823529411764706,	0.3176470588235294,	0.0
0.2,		0.6976470588235294,	0.3023529411764706,	0.0
0.21,		0.7011764705882353,	0.2988235294117647,	0.0
0.22,		0.7094117647058824,	0.29058823529411765,	0.0
0.23,		0.7152941176470589,	0.2847058823529412,	0.0
0.24,		0.72,	0.28,	0.0
0.25,		0.7258823529411764,	0.2741176470588235,	0.0
0.26,		0.7305882352941176,	0.26941176470588235,	0.0
0.27,		0.7376470588235294,	0.26235294117647057,	0.0
0.28,		0.7388235294117647,	0.2611764705882353,	0.0
0.29,		0.7482352941176471,	0.25176470588235295,	0.0
0.3,		0.7611764705882353,	0.2388235294117647,	0.0
0.31,		0.7635294117647059,	0.23647058823529413,	0.0
0.32,		0.7658823529411765,	0.23411764705882354,	0.0
0.33,		0.7694117647058824,	0.22941176470588234,	0.001176470588235294
0.34,		0.7729411764705882,	0.22588235294117648,	0.001176470588235294
0.35,		0.7776470588235294,	0.2211764705882353,	0.001176470588235294
0.36,		0.7811764705882352,	0.21764705882352942,	0.001176470588235294
0.37,		0.7835294117647059,	0.21529411764705883,	0.001176470588235294
0.38,		0.7847058823529411,	0.21294117647058824,	0.002352941176470588
0.39,		0.7917647058823529,	0.20588235294117646,	0.002352941176470588
0.4,		0.7964705882352942,	0.2011764705882353,	0.002352941176470588
0.41,		0.7976470588235294,	0.2,	0.002352941176470588
0.42,		0.7988235294117647,	0.1988235294117647,	0.002352941176470588
0.43,		0.7988235294117647,	0.1988235294117647,	0.002352941176470588
