Threshold,	Accuracy Rate,		Type I Error,		Type II Error
0.49,		0.9058823529411765,	0.08705882352941176,	0.007058823529411765
0.5,		0.9176470588235294,	0.07294117647058823,	0.009411764705882352
0.51,		0.9235294117647059,	0.06705882352941177,	0.009411764705882352
0.52,		0.9258823529411765,	0.06470588235294118,	0.009411764705882352
0.53,		0.9352941176470588,	0.05529411764705883,	0.009411764705882352
0.54,		0.94,	0.04941176470588235,	0.010588235294117647
0.55,		0.94,	0.04823529411764706,	0.011764705882352941
0.56,		0.9411764705882353,	0.047058823529411764,	0.011764705882352941
0.57,		0.9494117647058824,	0.03882352941176471,	0.011764705882352941
0.58,		0.9505882352941176,	0.036470588235294116,	0.012941176470588235
0.59,		0.9541176470588235,	0.03176470588235294,	0.01411764705882353
0.6,		0.9552941176470588,	0.02823529411764706,	0.01647058823529412
0.61,		0.9564705882352941,	0.02588235294117647,	0.01764705882352941
0.62,		0.9576470588235294,	0.024705882352941175,	0.01764705882352941
0.63,		0.9576470588235294,	0.02235294117647059,	0.02
0.64,		0.9541176470588235,	0.02,	0.02588235294117647
0.65,		0.9505882352941176,	0.018823529411764704,	0.03058823529411765
0.66,		0.9505882352941176,	0.01411764705882353,	0.03529411764705882
0.67,		0.9505882352941176,	0.010588235294117647,	0.03882352941176471
0.68,		0.9470588235294117,	0.009411764705882352,	0.04352941176470588
0.69,		0.9411764705882353,	0.00823529411764706,	0.05058823529411765
0.7,		0.9364705882352942,	0.007058823529411765,	0.05647058823529412
0.71,		0.9305882352941176,	0.007058823529411765,	0.06235294117647059
0.72,		0.9294117647058824,	0.0058823529411764705,	0.06470588235294118
0.73,		0.9247058823529412,	0.0058823529411764705,	0.06941176470588235
0.74,		0.9235294117647059,	0.0058823529411764705,	0.07058823529411765
0.75,		0.9211764705882353,	0.004705882352941176,	0.07411764705882352
0.76,		0.9164705882352941,	0.004705882352941176,	0.07882352941176471
0.77,		0.9117647058823529,	0.0035294117647058825,	0.08470588235294117
0.78,		0.9105882352941177,	0.002352941176470588,	0.08705882352941176
0.79,		0.908235294117647,	0.001176470588235294,	0.09058823529411765
0.8,		0.9058823529411765,	0.0,	0.09411764705882353
0.81,		0.9047058823529411,	0.0,	0.09529411764705882
0.82,		0.9023529411764706,	0.0,	0.0976470588235294
0.83,		0.9011764705882352,	0.0,	0.0988235294117647
0.84,		0.9011764705882352,	0.0,	0.0988235294117647
0.85,		0.9,	0.0,	0.1
0.86,		0.9,	0.0,	0.1
0.87,		0.8976470588235295,	0.0,	0.10235294117647059
0.88,		0.8976470588235295,	0.0,	0.10235294117647059
0.89,		0.8976470588235295,	0.0,	0.10235294117647059
0.9,		0.8976470588235295,	0.0,	0.10235294117647059
0.91,		0.8976470588235295,	0.0,	0.10235294117647059
0.92,		0.8976470588235295,	0.0,	0.10235294117647059
0.93,		0.8976470588235295,	0.0,	0.10235294117647059
0.94,		0.8976470588235295,	0.0,	0.10235294117647059
0.95,		0.8976470588235295,	0.0,	0.10235294117647059
0.96,		0.8976470588235295,	0.0,	0.10235294117647059
0.97,		0.8976470588235295,	0.0,	0.10235294117647059
0.98,		0.8976470588235295,	0.0,	0.10235294117647059
0.99,		0.8976470588235295,	0.0,	0.10235294117647059
1.0,		0.8976470588235295,	0.0,	0.10235294117647059
