Threshold,	Accuracy Rate,		Type I Error,		Type II Error
0.46,		0.9482352941176471,	0.011764705882352941,	0.04
0.47,		0.9423529411764706,	0.00823529411764706,	0.04941176470588235
0.48,		0.9423529411764706,	0.007058823529411765,	0.05058823529411765
0.49,		0.9388235294117647,	0.007058823529411765,	0.05411764705882353
0.5,		0.9352941176470588,	0.0058823529411764705,	0.058823529411764705
0.51,		0.9305882352941176,	0.0058823529411764705,	0.06352941176470588
0.52,		0.9294117647058824,	0.0058823529411764705,	0.06470588235294118
0.53,		0.9270588235294117,	0.0058823529411764705,	0.06705882352941177
0.54,		0.9211764705882353,	0.004705882352941176,	0.07411764705882352
0.55,		0.9141176470588235,	0.0035294117647058825,	0.08235294117647059
0.56,		0.9117647058823529,	0.0035294117647058825,	0.08470588235294117
0.57,		0.9094117647058824,	0.002352941176470588,	0.08823529411764706
0.58,		0.908235294117647,	0.002352941176470588,	0.08941176470588236
0.59,		0.908235294117647,	0.001176470588235294,	0.09058823529411765
0.6,		0.9070588235294118,	0.001176470588235294,	0.09176470588235294
0.61,		0.9070588235294118,	0.001176470588235294,	0.09176470588235294
0.62,		0.9047058823529411,	0.0,	0.09529411764705882
0.63,		0.9047058823529411,	0.0,	0.09529411764705882
0.64,		0.9023529411764706,	0.0,	0.0976470588235294
0.65,		0.9023529411764706,	0.0,	0.0976470588235294
0.66,		0.9,	0.0,	0.1
0.67,		0.9,	0.0,	0.1
0.68,		0.9,	0.0,	0.1
0.69,		0.8988235294117647,	0.0,	0.1011764705882353
0.7,		0.8976470588235295,	0.0,	0.10235294117647059
0.71,		0.8976470588235295,	0.0,	0.10235294117647059
0.72,		0.8976470588235295,	0.0,	0.10235294117647059
0.73,		0.8976470588235295,	0.0,	0.10235294117647059
0.74,		0.8976470588235295,	0.0,	0.10235294117647059
0.75,		0.8976470588235295,	0.0,	0.10235294117647059
0.76,		0.8976470588235295,	0.0,	0.10235294117647059
0.77,		0.8976470588235295,	0.0,	0.10235294117647059
0.78,		0.8976470588235295,	0.0,	0.10235294117647059
0.79,		0.8976470588235295,	0.0,	0.10235294117647059
0.8,		0.8976470588235295,	0.0,	0.10235294117647059
0.81,		0.8976470588235295,	0.0,	0.10235294117647059
0.82,		0.8976470588235295,	0.0,	0.10235294117647059
0.83,		0.8976470588235295,	0.0,	0.10235294117647059
0.84,		0.8976470588235295,	0.0,	0.10235294117647059
0.85,		0.8976470588235295,	0.0,	0.10235294117647059
0.86,		0.8976470588235295,	0.0,	0.10235294117647059
0.87,		0.8976470588235295,	0.0,	0.10235294117647059
0.88,		0.8976470588235295,	0.0,	0.10235294117647059
0.89,		0.8976470588235295,	0.0,	0.10235294117647059
0.9,		0.8976470588235295,	0.0,	0.10235294117647059
0.91,		0.8976470588235295,	0.0,	0.10235294117647059
0.92,		0.8976470588235295,	0.0,	0.10235294117647059
0.93,		0.8976470588235295,	0.0,	0.10235294117647059
0.94,		0.8976470588235295,	0.0,	0.10235294117647059
0.95,		0.8976470588235295,	0.0,	0.10235294117647059
0.96,		0.8976470588235295,	0.0,	0.10235294117647059
0.97,		0.8976470588235295,	0.0,	0.10235294117647059
0.98,		0.8976470588235295,	0.0,	0.10235294117647059
0.99,		0.8976470588235295,	0.0,	0.10235294117647059
1.0,		0.8976470588235295,	0.0,	0.10235294117647059
