Threshold,	Accuracy Rate,		Type I Error,		Type II Error
0.0,		0.10235294117647059,	0.8976470588235295,	0.0
0.01,		0.10235294117647059,	0.8976470588235295,	0.0
0.02,		0.10235294117647059,	0.8976470588235295,	0.0
0.03,		0.10235294117647059,	0.8976470588235295,	0.0
0.04,		0.10352941176470588,	0.8964705882352941,	0.0
0.05,		0.10352941176470588,	0.8964705882352941,	0.0
0.06,		0.10823529411764705,	0.8917647058823529,	0.0
0.07,		0.10823529411764705,	0.8917647058823529,	0.0
0.08,		0.11176470588235295,	0.888235294117647,	0.0
0.09,		0.12117647058823529,	0.8788235294117647,	0.0
0.1,		0.1388235294117647,	0.8611764705882353,	0.0
0.11,		0.15058823529411763,	0.8494117647058823,	0.0
0.12,		0.15529411764705883,	0.8447058823529412,	0.0
0.13,		0.18941176470588236,	0.8105882352941176,	0.0
0.14,		0.27176470588235296,	0.7282352941176471,	0.0
0.15,		0.3164705882352941,	0.6835294117647058,	0.0
0.16,		0.3458823529411765,	0.6541176470588236,	0.0
0.17,		0.4047058823529412,	0.5952941176470589,	0.0
0.18,		0.4176470588235294,	0.5823529411764706,	0.0
0.19,		0.4235294117647059,	0.5764705882352941,	0.0
0.2,		0.4388235294117647,	0.5611764705882353,	0.0
0.21,		0.4505882352941176,	0.5494117647058824,	0.0
0.22,		0.46,	0.54,	0.0
0.23,		0.47058823529411764,	0.5294117647058824,	0.0
0.24,		0.4752941176470588,	0.5247058823529411,	0.0
0.25,		0.49058823529411766,	0.5094117647058823,	0.0
0.26,		0.4964705882352941,	0.5035294117647059,	0.0
0.27,		0.4976470588235294,	0.5023529411764706,	0.0
0.28,		0.5,	0.5,	0.0
0.29,		0.5023529411764706,	0.4976470588235294,	0.0
0.3,		0.5023529411764706,	0.4976470588235294,	0.0
0.31,		0.5035294117647059,	0.4964705882352941,	0.0
0.32,		0.5035294117647059,	0.4964705882352941,	0.0
0.33,		0.5035294117647059,	0.4964705882352941,	0.0
0.34,		0.5058823529411764,	0.49411764705882355,	0.0
0.35,		0.508235294117647,	0.49176470588235294,	0.0
0.36,		0.5117647058823529,	0.48823529411764705,	0.0
0.37,		0.5164705882352941,	0.4835294117647059,	0.0
0.38,		0.5341176470588235,	0.46588235294117647,	0.0
0.39,		0.5658823529411765,	0.43411764705882355,	0.0
0.4,		0.5788235294117647,	0.4211764705882353,	0.0
0.41,		0.6364705882352941,	0.3635294117647059,	0.0
0.42,		0.6529411764705882,	0.34705882352941175,	0.0
0.43,		0.668235294117647,	0.33176470588235296,	0.0
0.44,		0.6823529411764706,	0.3176470588235294,	0.0
0.45,		0.6941176470588235,	0.3058823529411765,	0.0
0.46,		0.6988235294117647,	0.30117647058823527,	0.0
0.47,		0.7070588235294117,	0.29294117647058826,	0.0
0.48,		0.7094117647058824,	0.29058823529411765,	0.0
